apartment_id,apartment_name,legal_dong,gu,household_count,elementary_school_name,school_premium_core_score,school_premium_confidence,representative_area_m2,recent_market_price,baseline_expected_price,school_adjusted_expected_price,estimated_school_premium_pct,estimated_school_premium_amount,model_uncertainty_pct,transaction_count,price_window_used,as_of_date,data_quality_flag
A10023409,이진젠시티개금,개금동,부산진구,736.0,가평초등학교,71.48399558498896,B,74.1253,612500000.0,550185130.811662,602686834.2064269,9.542552216435162,52501703.3947649,4.494923978067426,16.0,6M,2026-08-28,OK
A61476403,벽산1,가야동,부산진구,1772.0,가평초등학교,71.48399558498896,B,84.99,234000000.0,296730469.32051957,325046129.2975033,9.542552216435162,28315659.976983726,4.494923978067426,17.0,6M,2026-08-28,OK
A61479502,반도보라빌,가야동,부산진구,1048.0,가평초등학교,71.48399558498896,B,84.8598,400000000.0,379099110.2602106,415274840.80883235,9.542552216435185,36175730.54862177,4.494923978067426,20.0,6M,2026-08-28,OK
A61375202,광원,광안동,수영구,589.0,수영초등학교,71.04155629139072,B,84.99,316500000.0,417498542.3767335,456480945.0211612,9.337135028665955,38982402.64442772,4.494923978067426,14.0,6M,2026-08-28,OK
A61375603,비치-그린아파트,광안동,수영구,1038.0,수영초등학교,71.04155629139072,B,59.76,263000000.0,333575790.0629657,364722212.00408405,9.337135028665955,31146421.94111836,4.494923978067426,17.0,6M,2026-08-28,OK
A10020313,일광동원로얄듀크,일광읍,기장군,1134.0,일광초등학교,70.97770419426048,B,,,,,,,,,,2026-08-28,OK
A10024476,일광신도시비스타동원2차,일광읍이천리,기장군,917.0,일광초등학교,70.97770419426048,B,104.206,615000000.0,626092115.7704742,684365773.3605728,9.307521388987073,58273657.59009862,4.494923978067426,18.0,6M,2026-08-28,OK
A10024909,일광자이푸르지오2단지,일광읍삼성리,기장군,1059.0,일광초등학교,70.97770419426048,B,84.9596,546000000.0,474461740.1308448,518622368.07608336,9.307521388987073,44160627.94523859,4.494923978067426,30.0,6M,2026-08-28,OK
A10024919,일광신도시비스타동원1차,일광읍삼성리,기장군,701.0,일광초등학교,70.97770419426048,B,104.2061,626500000.0,542045914.1154361,592496953.5098608,9.307521388987073,50451039.39442468,4.494923978067426,16.0,6M,2026-08-28,OK
A10024933,이지더원1차오션포레,일광읍삼성리,기장군,653.0,일광초등학교,70.97770419426048,B,59.6231,325000000.0,328038331.3904206,358570569.24866027,9.30752138898705,30532237.85823965,4.494923978067426,29.0,6M,2026-08-28,OK
A10025042,e편한세상일광,일광읍삼성리,기장군,913.0,일광초등학교,70.97770419426048,B,79.9871,480000000.0,450631134.82605386,492573724.0854239,9.30752138898705,41942589.25937003,4.494923978067426,31.0,6M,2026-08-28,OK
