apartment_id,apartment_name,household_count,sigungu,legal_dong,elementary_name,elementary_demand_score,elementary_percentile,phase7_score,eligible_middle_count,eligible_middle_schools,eligible_middle_score_mean,eligible_middle_score_max,eligible_middle_score_min,eligible_middle_score_range,has_guaranteed_assignment,guaranteed_middle_name,guaranteed_middle_score,guaranteed_middle_is_top_tier,school_premium_core_score,school_premium_addon_score,final_school_premium_score,school_premium_confidence,data_quality_flag,recent_price_per_m2,unusual_flag,unusual_reason,audit_segment
A60701003,동래센트럴파크하이츠2차,680.0,동래구,명륜동,명륜초등학교,78.46087196467991,91.38240574506284,69.88705882352942,4.0,동래중;동해중;부산내성중학교;유락여중,68.85294117647058,78.3529411764706,56.529411764705884,21.82352941176471,0.0,,,0.0,78.46087196467991,0.0,78.46087196467991,B,OK,6770943.115834939,False,,ALL
A60701004,명륜아이파크1단지,1409.0,동래구,명륜동,명륜초등학교,78.46087196467991,91.38240574506284,70.88705882352942,4.0,동래중;동해중;부산내성중학교;유락여중,68.85294117647058,78.3529411764706,56.529411764705884,21.82352941176471,0.0,,,0.0,78.46087196467991,0.0,78.46087196467991,B,OK,9447625.681070276,False,,ALL
A61203017,동부,679.0,해운대구,좌동,상당초등학교,78.09409492273733,90.84380610412927,80.2729411764706,5.0,부흥중;상당중;신곡중;신도중;양운중,82.20588235294117,89.32352941176471,77.88235294117646,11.441176470588246,0.0,,,0.0,78.09409492273733,0.0,78.09409492273733,B,OK,5903490.759753593,False,,ALL
A61203019,삼성,728.0,해운대구,좌동,상당초등학교,78.09409492273733,90.84380610412927,80.2729411764706,5.0,부흥중;상당중;신곡중;신도중;양운중,82.20588235294117,89.32352941176471,77.88235294117646,11.441176470588246,0.0,,,0.0,78.09409492273733,0.0,78.09409492273733,B,OK,6968321.2604733445,False,,ALL
A61203039,엘지,1848.0,해운대구,좌동,상당초등학교,78.09409492273733,90.84380610412927,80.2729411764706,5.0,부흥중;상당중;신곡중;신도중;양운중,82.20588235294117,89.32352941176471,77.88235294117646,11.441176470588246,0.0,,,0.0,78.09409492273733,0.0,78.09409492273733,B,OK,5819787.276740919,False,,ALL
A10022847,대연비치,1384.0,남구,대연동,남천초등학교,77.64387417218543,90.30520646319569,64.58847058823531,5.0,남천중;대천중;동아중;부산수영중;한바다중,66.6,87.20588235294116,43.970588235294116,43.235294117647044,0.0,,,0.0,77.64387417218543,0.0,77.64387417218543,B,OK,16334854.506834053,False,,ALL
A10023607,더샵남천프레스티지,975.0,수영구,남천동,남천초등학교,77.64387417218543,90.30520646319569,68.08847058823531,5.0,남천중;대천중;동아중;부산수영중;한바다중,66.6,87.20588235294116,43.970588235294116,43.235294117647044,0.0,,,0.0,77.64387417218543,0.0,77.64387417218543,B,OK,14054742.961708114,False,,ALL
A61381903,뉴비치,990.0,수영구,남천동,남천초등학교,77.64387417218543,90.30520646319569,66.08847058823531,5.0,남천중;대천중;동아중;부산수영중;한바다중,66.6,87.20588235294116,43.970588235294116,43.235294117647044,0.0,,,0.0,77.64387417218543,0.0,77.64387417218543,B,OK,10728578.154425614,False,,ALL
A10022591,사직하늘채리센티아,690.0,동래구,사직동,금강초등학교,77.53211920529802,89.76660682226212,69.52911764705883,4.0,사직여중;사직중;여명중;온천중,72.78676470588235,94.26470588235294,36.50000000000001,57.764705882352935,0.0,,,0.0,77.53211920529802,0.0,77.53211920529802,B,OK,8668982.87433048,False,,ALL
A10025463,동래효성해링턴플레이스,762.0,동래구,온천동,금강초등학교,77.53211920529802,89.76660682226212,68.52911764705883,4.0,사직여중;사직중;여명중;온천중,72.78676470588235,94.26470588235294,36.50000000000001,57.764705882352935,0.0,,,0.0,77.53211920529802,0.0,77.53211920529802,B,OK,7302559.257048026,False,,ALL
