class_a_rank,combined_candidate_class,apartment_id,apartment_name,gu,legal_dong,elementary_school_name,local_value_gap_pct,local_gap_interval_status,local_gap_temporal_stability,local_gap_confidence,school_value_gap_pct,gap_confidence,gap_positive_probability,school_local_signal_agreement,strong_dual_positive,model_confidence,fallback_level,extreme_gap_flag,dong_bias_flag
76.0,ROBUST_DUAL_POSITIVE,A61996106,이지더원2차,기장군,정관읍모전리,모전초등학교,7.911111571475238,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,3.1361032548908208,MEDIUM,0.942,DOUBLE_POSITIVE,True,HIGH,0,False,False
77.0,ROBUST_DUAL_POSITIVE,A61676605,금곡6단지주공,북구,금곡동,신금초등학교,11.525371454364164,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,19.149046126798503,HIGH,0.86,DOUBLE_POSITIVE,True,HIGH,0,False,False
78.0,ROBUST_DUAL_POSITIVE,A61777711,목화,사상구,학장동,학장초등학교,9.11102189650208,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,5.351826370707613,MEDIUM,0.794,DOUBLE_POSITIVE,True,HIGH,0,False,False
79.0,ROBUST_DUAL_POSITIVE,A61776710,엄궁2차한신,사상구,엄궁동,동궁초등학교,17.005093364906987,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,MEDIUM,16.146707475299127,HIGH,1.0,DOUBLE_POSITIVE,True,MEDIUM,0,False,False
80.0,ROBUST_DUAL_POSITIVE,A61776811,코오롱,사상구,엄궁동,동궁초등학교,10.958848889278162,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,MEDIUM,13.778685264769386,HIGH,1.0,DOUBLE_POSITIVE,True,MEDIUM,0,False,False
81.0,ROBUST_DUAL_POSITIVE,A61996108,정관1차동원로얄듀크,기장군,정관읍달산리,달산초등학교,9.362756058769218,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,MEDIUM,19.23682973326325,HIGH,1.0,DOUBLE_POSITIVE,True,MEDIUM,1,False,False
82.0,ROBUST_DUAL_POSITIVE,A10026360,동래동일스위트,동래구,명장동,명장초등학교,18.11854968524509,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,MEDIUM,17.95913006236299,MEDIUM,1.0,DOUBLE_POSITIVE,True,MEDIUM,1,False,False
83.0,ROBUST_DUAL_POSITIVE,A10028142,가화만사성정관타운,기장군,정관읍방곡리,방곡초등학교,7.897856851944596,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,MEDIUM,11.54457215491686,MEDIUM,1.0,DOUBLE_POSITIVE,True,MEDIUM,1,False,False
84.0,ROBUST_DUAL_POSITIVE,A60483404,한신,사하구,신평동,신남초등학교,3.0694775561993293,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,MEDIUM,23.418503619975173,MEDIUM,1.0,DOUBLE_POSITIVE,True,MEDIUM,0,False,False
85.0,ROBUST_DUAL_POSITIVE,A61680707,구포현대,북구,구포동,구남초등학교,4.928263665508137,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,MEDIUM,15.921439438424244,HIGH,0.976,DOUBLE_POSITIVE,True,MEDIUM,0,False,False
86.0,ROBUST_DUAL_POSITIVE,A10025075,e편한세상오션테라스3단지,수영구,민락동,민락초등학교,4.251204955945509,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,MEDIUM,9.33594070269553,MEDIUM,0.966,DOUBLE_POSITIVE,True,MEDIUM,0,False,False
