apartment,legal_dong,local_market,issue_type,issue_detail,recommended_action
우성베스토피아,복천동,LM034,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
안락뜨란채2단지,안락동,LM036,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
동원로얄듀크,낙민동,LM031,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
동래우성,낙민동,LM031,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
한양,낙민동,LM031,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
안락SKVIEW,안락동,LM036,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산안락4휴먼시아,안락동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
안락현대,안락동,LM036,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
강변뜨란채,안락동,LM036,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
중앙하이츠2,낙민동,LM031,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
한일유앤아이,낙민동,LM031,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
화목,안락동,LM036,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
삼성,문현동,LM023,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
현대아이파크,용당동,LM024,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
시티프라자,문현동,LM023,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부산대연동푸르지오,대연동,LM022,LOW_ASSIGNMENT_STABILITY,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
감만현대1차,감만동,LM021,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
일신보라,우암동,LM026,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
현대,문현동,LM023,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
동일스위트,감만동,LM021,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
신대연코오롱하늘채,용당동,LM024,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
구서동쌍용예가2단지,구서동,LM005,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
구서동롯데캐슬골드2단지(1049),구서동,LM005,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부곡동푸르지오,부곡동,LM006,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
장전동금정산SKVIEW,장전동,LM007,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
벽산블루밍장전디자인시티2단지,장전동,LM007,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
금정산쌍용예가,장전동,LM007,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
금정산2차쌍용예가,장전동,LM007,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
대우,부곡동,LM006,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
구서동롯데캐슬골드1단지(1051),구서동,LM005,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
선경1,구서동,LM005,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
경남한신,부곡동,LM006,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
뉴그린1,부곡동,LM006,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
에스케이아파트,부곡동,LM006,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
선경3,구서동,LM005,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부곡시영,부곡동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
부곡늘푸른아파트,부곡동,LM006,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
경동,청룡동,LM008,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
구서우성,구서동,LM005,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
우신뉴타운,부곡동,LM006,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
