kapt_code,complex_name,sigungu,dong,households,eligible_households,confirmed_households,priced_households,valuation_scope,market_cap_krw,partial_cap_krw,per_household_krw,status,release_status,reason,rank,district_rank,adjusted_market_cap_krw,estimated_households,adjusted_status,adjusted_scope,adjustment_source
A61673304,화명동원로얄듀크,북구,화명동,1627.0,1627.0,1627.0,1627.0,전체 분양 주거 세대,573505000000.0,573505000000.0,352492317.1481254,산정 완료,VERIFIED_MASTER,,84.0,8.0,573505000000.0,0,산정 완료,전체 분양 주거 세대,
A60710004,안락뜨란채2단지아파트,동래구,안락동,1420.0,1420.0,1420.0,1420.0,전체 분양 주거 세대,570980000000.0,570980000000.0,402098591.5492958,산정 완료,VERIFIED_MASTER,,85.0,7.0,570980000000.0,0,산정 완료,전체 분양 주거 세대,
A60405002,다대롯데캐슬블루,사하구,다대동,1326.0,1326.0,1326.0,1326.0,전체 분양 주거 세대,570510000000.0,570510000000.0,430248868.77828056,산정 완료,VERIFIED_MASTER,,86.0,4.0,570510000000.0,0,산정 완료,전체 분양 주거 세대,
A10024909,일광자이푸르지오 2단지,기장군,일광읍,1059.0,1059.0,1059.0,1059.0,전체 분양 주거 세대,568722500000.0,568722500000.0,537037299.338999,산정 완료,VERIFIED_MASTER,,87.0,1.0,568722500000.0,0,산정 완료,전체 분양 주거 세대,
A10023542,해운대센트럴푸르지오,해운대구,우동,548.0,548.0,548.0,548.0,전체 분양 주거 세대,556220000000.0,556220000000.0,1015000000.0,산정 완료,VERIFIED_MASTER,,88.0,27.0,556220000000.0,0,산정 완료,전체 분양 주거 세대,
A60475612,다대현대아파트,사하구,다대동,2181.0,2181.0,2181.0,2181.0,전체 분양 주거 세대,555782500000.0,555782500000.0,254829206.78587803,산정 완료,VERIFIED_MASTER,,89.0,5.0,555782500000.0,0,산정 완료,전체 분양 주거 세대,
A61612016,화명수정강변타운,북구,화명동,1780.0,1780.0,1780.0,1780.0,전체 분양 주거 세대,550135000000.0,550135000000.0,309064606.74157304,산정 완료,VERIFIED_MASTER,,90.0,9.0,550135000000.0,0,산정 완료,전체 분양 주거 세대,
A10023750,e편한세상 서면 더센트럴,부산진구,범천동,998.0,998.0,998.0,998.0,전체 분양 주거 세대,548412500000.0,548412500000.0,549511523.0460922,산정 완료,VERIFIED_MASTER,,91.0,7.0,548412500000.0,0,산정 완료,전체 분양 주거 세대,
A61484005,화승삼성아파트,부산진구,부암동,1811.0,1811.0,1811.0,1811.0,전체 분양 주거 세대,543587500000.0,543587500000.0,300158752.0706792,산정 완료,VERIFIED_MASTER,,92.0,8.0,543587500000.0,0,산정 완료,전체 분양 주거 세대,
A10020721,백양산서희스타힐스(백양산서희스타힐스),부산진구,부암동,1295.0,1295.0,1295.0,1295.0,전체 분양 주거 세대,542350000000.0,542350000000.0,418803088.8030888,산정 완료,VERIFIED_MASTER,,93.0,9.0,542350000000.0,0,산정 완료,전체 분양 주거 세대,
A61203035,경남선경아파트,해운대구,좌동,1358.0,1358.0,1358.0,1358.0,전체 분양 주거 세대,535860000000.0,535860000000.0,394594992.63622975,산정 완료,VERIFIED_MASTER,,94.0,28.0,535860000000.0,0,산정 완료,전체 분양 주거 세대,
A60476101,가락타운1단지아파트,사하구,하단동,1746.0,1746.0,1746.0,1746.0,전체 분양 주거 세대,533745000000.0,533745000000.0,305695876.2886598,산정 완료,VERIFIED_MASTER,,95.0,6.0,533745000000.0,0,산정 완료,전체 분양 주거 세대,
A10025463,동래효성해링턴플레이스,동래구,온천동,762.0,762.0,762.0,762.0,전체 분양 주거 세대,532746000000.0,532746000000.0,699141732.2834646,산정 완료,VERIFIED_MASTER,,96.0,8.0,532746000000.0,0,산정 완료,전체 분양 주거 세대,
A60975303,경남한신,금정구,부곡동,1408.0,1408.0,1408.0,1408.0,전체 분양 주거 세대,531020000000.0,531020000000.0,377144886.3636364,산정 완료,VERIFIED_MASTER,,97.0,7.0,531020000000.0,0,산정 완료,전체 분양 주거 세대,
A61203026,해운대 화목타운,해운대구,좌동,896.0,896.0,896.0,896.0,전체 분양 주거 세대,530750000000.0,530750000000.0,592354910.7142857,산정 완료,VERIFIED_MASTER,,98.0,29.0,530750000000.0,0,산정 완료,전체 분양 주거 세대,
