학구ID,학교ID,학교명,학교급구분,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,데이터기준일자
Z000100252,B000002117,서울한남초등학교,초등학교,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2025-09-22
Z000101695,B000003607,명산초등학교,초등학교,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2025-09-22
Z000150915,B000003607,명산초등학교,초등학교,7480000,울산광역시교육청,7501000,울산광역시강남교육지원청,2025-09-22
Z000102418,B000026689,별가람초등학교,초등학교,7530000,경기도교육청,7652000,경기도구리남양주교육지원청,2025-09-22
Z000100232,B000002088,서울명신초등학교,초등학교,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2025-09-22
Z000101408,B000003334,도산초등학교,초등학교,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2025-09-22
Z000100409,B000002255,서울서원초등학교,초등학교,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2025-09-22
Z000103393,B000005276,모충초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2025-09-22
Z000100652,B000002522,연지초등학교,초등학교,7150000,부산광역시교육청,7181000,부산광역시남부교육지원청,2025-09-22
Z000106002,B000008006,애월초등학교,초등학교,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2025-09-22
Z000150529,B000007019,김천부곡초등학교,초등학교,8750000,경상북도교육청,8781000,경상북도김천교육지원청,2025-09-22
Z000151363,B000007019,김천부곡초등학교,초등학교,8750000,경상북도교육청,8781000,경상북도김천교육지원청,2025-09-22
Z000100715,B000002608,연제초등학교,초등학교,7150000,부산광역시교육청,7191000,부산광역시동래교육지원청,2025-09-22
Z000103155,B000004997,인구초등학교,초등학교,7801000,강원특별자치도교육청,7863000,강원특별자치도속초양양교육지원청,2025-09-22
Z000151583,B000004997,인구초등학교,초등학교,7801000,강원특별자치도교육청,7863000,강원특별자치도속초양양교육지원청,2025-09-22
Z000105800,B000007815,고암초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2025-09-22
Z000151179,B000007815,고암초등학교,초등학교,9010000,경상남도교육청,9141000,경상남도창녕교육지원청,2025-09-22
