kapt_code,kapt_name,final_status,master_included,excluded,pending,verification_source,area_row_count,notes
A61279804,센텀SK뷰,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A61281117,센텀대림,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A10026557,센텀리슈빌 아파트,VERIFIED_MASTER,True,False,False,KB부동산 (29528+29529),8,전체 주거 세대 (1단지+2단지 통합 산정)
A61205002,센텀동부센트레빌아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A61205003,더샵센텀스타,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A61271204,더샵센텀파크1차,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A61271302,더샵센텀파크2차,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61274815,센텀(재송)삼익,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A61278214,센텀우신골든빌,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A61281512,센텀피오레1차,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
A61283211,재송그린,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61283410,센텀동국아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61286403,센텀이편한세상,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A10022568,해운대 경동리인뷰2차,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
